Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
bmg2024bpkp,2024-01-23T15:55:45.120471Z,-5.076154232,102.2219925,4.020262223,M,13,40,147.258255,"Southern Sumatra, Indonesia",BMKG
bmg2024bpgu,2024-01-23T14:00:00.820574Z,-6.35586071,104.8809738,3.417345909,M,10,39,195.1271286,"Sunda Strait, Indonesia",BMKG
bmg2024boxb,2024-01-23T09:05:03.693911Z,-1.466916442,100.4880295,4.130194088,M,46,48,48.46943665,"Southern Sumatra, Indonesia",BMKG
bmg2024bore,2024-01-23T06:06:56.758433Z,2.126744509,98.97079468,3.005417917,MLv,119,32,95.68589783,"Northern Sumatra, Indonesia",BMKG
bmg2024bnvu,2024-01-22T19:18:57.272654Z,5.456127644,95.53237915,2.633490548,M,16,9,129.1907806,"Northern Sumatra, Indonesia",BMKG
bmg2024bmzc,2024-01-22T07:50:27.976586Z,1.833595276,99.09877777,3.02664161,MLv,2,22,59.51600647,"Northern Sumatra, Indonesia",BMKG
bmg2024blvo,2024-01-21T16:55:51.87938Z,-6.356407642,104.8738403,3.221607397,MLv,10,29,195.8652496,"Sunda Strait, Indonesia",BMKG
bmg2024blne,2024-01-21T12:40:45.748529Z,0.5275967717,100.7547302,4.005589851,MLv,254,75,69.13419342,"Northern Sumatra, Indonesia",BMKG
bmg2024bkio,2024-01-20T21:13:11.295781Z,-7.015955448,105.3581772,3.099883092,MLv,11,35,222.8805084,"Java, Indonesia",BMKG
bmg2024bkfa,2024-01-20T19:26:12.169725Z,0.9725182056,99.50470734,3.060025464,MLv,129,49,84.73600674,"Northern Sumatra, Indonesia",BMKG
bmg2024bjzk,2024-01-20T16:35:41.757746Z,-0.1140803546,100.8559875,3.52887021,MLv,171,61,51.02990532,"Southern Sumatra, Indonesia",BMKG
bmg2024bjts,2024-01-20T13:43:28.497955Z,-0.2694251537,99.57792664,3.23629541,MLv,10,43,43.26667786,"Southern Sumatra, Indonesia",BMKG
bmg2024bjta,2024-01-20T13:22:01.644148Z,-1.354592323,100.8247528,2.839023607,MLv,74,26,64.91944504,"Southern Sumatra, Indonesia",BMKG
bmg2024bikq,2024-01-19T19:59:27.5516Z,3.816236258,96.00889587,3.085837764,MLv,30,31,165.2118835,"Northern Sumatra, Indonesia",BMKG
bmg2024bijy,2024-01-19T19:37:32.395514Z,0.1115380451,96.68656158,3.711980667,M,44,50,216.7956619,Off West Coast of Northern Sumatra,BMKG
bmg2024bhhi,2024-01-19T05:10:53.206095Z,4.533196926,96.54206085,2.342991909,MLv,11,15,96.83769226,"Northern Sumatra, Indonesia",BMKG
bmg2024bgth,2024-01-18T22:05:37.28483Z,-0.4341376722,99.06163788,4.771468589,mb,60,66,72.63807678,"Southern Sumatra, Indonesia",BMKG
bmg2024bgrt,2024-01-18T21:19:11.828135Z,-4.524096012,102.2813187,2.637862047,MLv,10,13,287.0145302,"Southern Sumatra, Indonesia",BMKG
bmg2024bgps,2024-01-18T20:17:43.775455Z,2.166790009,97.87197876,2.018042171,MLv,39,13,143.7917938,"Northern Sumatra, Indonesia",BMKG
bmg2024bgpj,2024-01-18T20:06:34.701752Z,-3.155873299,102.1641541,3.329016852,MLv,10,35,112.0905457,"Southern Sumatra, Indonesia",BMKG
bmg2024bgpi,2024-01-18T20:05:39.932461Z,1.915414572,97.6542511,2.036299428,MLv,30,14,137.3097687,"Northern Sumatra, Indonesia",BMKG
bmg2024bgnp,2024-01-18T19:13:01.411126Z,-1.423227906,99.28806305,3.507339385,MLv,10,25,111.1801605,"Southern Sumatra, Indonesia",BMKG
bmg2024bfeu,2024-01-18T01:38:30.992738Z,-6.154463291,101.5786896,4.72120139,MLv,10,70,226.4530563,"Southwest of Sumatra, Indonesia",BMKG
bmg2024benv,2024-01-17T17:03:48.711663Z,1.578568697,99.61392975,3.151345875,MLv,161,48,114.4769192,"Northern Sumatra, Indonesia",BMKG
bmg2024beki,2024-01-17T15:18:06.292044Z,3.921127319,95.85267639,4.792001758,MLv,29,61,161.3102264,Off West Coast of Northern Sumatra,BMKG
bmg2024beeo,2024-01-17T12:22:35.993728Z,-2.462186813,101.9938202,3.047058413,MLv,140,32,103.8293991,"Southern Sumatra, Indonesia",BMKG
bmg2024bebx,2024-01-17T11:02:28.229245Z,-4.989169598,102.9060059,3.488088185,MLv,13,11,241.6920395,"Southern Sumatra, Indonesia",BMKG
bmg2024bdzj,2024-01-17T09:45:41.321925Z,-4.548692703,103.0610123,2.281599029,MLv,62,22,180.401329,"Southern Sumatra, Indonesia",BMKG
bmg2024bdxz,2024-01-17T09:03:14.128361Z,-0.8946793675,98.8236618,3.896882471,MLv,14,27,157.1129761,"Southern Sumatra, Indonesia",BMKG
